section,module,day,hour,slot,room,room_capacity,professor,students,occupancy,module_mean_risk
CCC-1,CCC,Jue,07:00,Jue-07:00,LAB-1,30,Prof_A,28,0.9333333333333333,0.5937323527459721
EEE-1,EEE,Jue,09:00,Jue-09:00,LAB-1,30,Prof_C,25,0.8333333333333334,0.4533913791110745
FFF-1,FFF,Lun,07:00,Lun-07:00,LAB-1,30,Prof_A,29,0.9666666666666667,0.5156447652730056
FFF-2,FFF,Lun,09:00,Lun-09:00,LAB-1,30,Prof_A,29,0.9666666666666667,0.5156447652730056
BBB-1,BBB,Mar,07:00,Mar-07:00,LAB-1,30,Prof_A,29,0.9666666666666667,0.533834192218993
BBB-2,BBB,Mar,09:00,Mar-09:00,LAB-1,30,Prof_A,29,0.9666666666666667,0.533834192218993
DDD-1,DDD,Mié,07:00,Mié-07:00,LAB-1,30,Prof_A,21,0.7,0.5728132464237783
DDD-2,DDD,Mié,09:00,Mié-09:00,LAB-1,30,Prof_A,21,0.7,0.5728132464237783
GGG-1,GGG,Vie,07:00,Vie-07:00,LAB-1,30,Prof_C,23,0.7666666666666667,0.408043417816945
AAA-1,AAA,Vie,09:00,Vie-09:00,LAB-1,30,Prof_E,12,0.4,0.32792340526965613
